,ProductID,ProductCategory,ProductBrand,ProductPrice,CustomerAge,CustomerGender,PurchaseFrequency,CustomerSatisfaction,PurchaseIntent
0,5874.0,Smartphones,Other Brands,312.94966810515353,18.0,0.0,2.0,1.0,0.0
1,5875.0,Smart Watches,Samsung,980.3894043187454,35.0,1.0,7.0,2.0,1.0
2,5876.0,Tablets,Samsung,2606.718292835622,63.0,0.0,1.0,5.0,1.0
3,5877.0,Smartphones,Samsung,870.3954502496597,63.0,1.0,10.0,3.0,1.0
4,5878.0,Tablets,Sony,1798.9558746776083,57.0,0.0,17.0,3.0,0.0
5,5879.0,Smartphones,Samsung,373.1483247868712,37.0,1.0,,1.0,1.0
6,5880.0,Smartphones,Samsung,2330.036775244811,26.0,1.0,5.0,5.0,1.0
7,5881.0,Smartphones,HP,780.1014938488929,35.0,0.0,12.0,5.0,1.0
8,5882.0,Laptops,Other Brands,2264.5615834054943,19.0,1.0,3.0,4.0,1.0
9,5883.0,Laptops,HP,1001.6240058234738,66.0,1.0,8.0,4.0,1.0
10,5884.0,Smartphones,Other Brands,879.1223675529482,20.0,1.0,1.0,,0.0
11,5885.0,Laptops,Apple,1563.857731658311,38.0,1.0,14.0,2.0,1.0
12,5886.0,Tablets,Samsung,1297.3669317328886,48.0,0.0,1.0,3.0,0.0
13,5887.0,Headphones,Sony,1756.8383091267897,62.0,0.0,2.0,5.0,1.0
14,5888.0,Headphones,Apple,2486.693286619063,54.0,0.0,12.0,4.0,1.0
15,5889.0,Tablets,HP,1280.4560806972363,33.0,0.0,1.0,2.0,0.0
16,5890.0,Tablets,Samsung,2388.495395185978,29.0,1.0,3.0,4.0,1.0
17,5891.0,Smartphones,Apple,420.7798214919339,26.0,0.0,16.0,1.0,0.0
18,5892.0,Tablets,Apple,1224.1746781069862,28.0,0.0,4.0,5.0,0.0
19,5893.0,Smart Watches,Samsung,2441.432737056144,43.0,0.0,5.0,5.0,1.0
20,5894.0,Smartphones,Other Brands,1073.0660159873928,58.0,0.0,4.0,3.0,0.0
21,5895.0,Headphones,HP,2815.031730919124,34.0,0.0,12.0,2.0,
22,5896.0,Laptops,HP,206.6678154064927,65.0,0.0,18.0,4.0,1.0
23,5897.0,Headphones,HP,374.5263838112924,67.0,1.0,7.0,5.0,1.0
24,5898.0,Headphones,Other Brands,835.6847452912937,23.0,0.0,17.0,2.0,0.0
25,5899.0,Laptops,HP,887.2720459258376,61.0,1.0,10.0,1.0,1.0
26,5900.0,Tablets,Samsung,2158.442394780764,58.0,1.0,12.0,4.0,
27,5901.0,Smartphones,Apple,1581.9731763039106,64.0,0.0,5.0,5.0,1.0
28,5902.0,Smart Watches,HP,2096.8888459460813,37.0,0.0,18.0,1.0,0.0
29,5903.0,Headphones,Apple,2106.732765049964,55.0,0.0,15.0,5.0,1.0
30,5904.0,Smartphones,Other Brands,2697.271509962217,56.0,1.0,10.0,2.0,1.0
31,5905.0,Tablets,HP,1342.5833893635877,,1.0,17.0,4.0,1.0
32,,Tablets,Other Brands,2633.699012968075,42.0,0.0,2.0,2.0,0.0
33,5907.0,Smartphones,Apple,958.3976167280938,57.0,1.0,2.0,2.0,1.0
34,5908.0,Smartphones,Apple,2417.032919964477,39.0,1.0,9.0,4.0,1.0
35,5909.0,Smartphones,HP,1678.2869837094277,50.0,0.0,14.0,5.0,1.0
36,5910.0,Headphones,Other Brands,2522.5280253448286,52.0,1.0,14.0,5.0,1.0
37,5911.0,Tablets,Other Brands,1440.0111227950945,50.0,1.0,1.0,2.0,1.0
38,5912.0,Laptops,Samsung,322.67334163205305,40.0,0.0,7.0,3.0,0.0
39,5913.0,Smart Watches,Samsung,688.2640303377825,41.0,0.0,10.0,2.0,0.0
40,5914.0,Smart Watches,HP,947.0584631657032,29.0,1.0,18.0,2.0,0.0
41,5915.0,Smart Watches,HP,2265.9182058536057,65.0,1.0,19.0,2.0,1.0
42,5916.0,Tablets,Other Brands,1951.991750219611,30.0,1.0,2.0,1.0,0.0
43,5917.0,Headphones,HP,2303.116596130776,47.0,1.0,4.0,3.0,1.0
44,5918.0,,Apple,2618.423157158488,60.0,1.0,18.0,5.0,1.0
45,5919.0,Smartphones,Samsung,660.132983195642,29.0,1.0,9.0,1.0,0.0
46,5920.0,Tablets,Sony,1568.823404515806,,1.0,17.0,3.0,1.0
47,5921.0,Laptops,Samsung,2164.422876906346,21.0,0.0,16.0,3.0,0.0
48,5922.0,Smart Watches,Sony,364.19049763848017,33.0,1.0,17.0,4.0,1.0
49,5923.0,Smartphones,Apple,1513.5041070427055,49.0,1.0,1.0,5.0,1.0
50,5924.0,Laptops,Samsung,1172.248335400585,57.0,0.0,9.0,,0.0
51,5925.0,Tablets,Other Brands,1012.1081059199164,26.0,0.0,18.0,5.0,0.0
52,5926.0,Smart Watches,,1283.7024652961493,21.0,1.0,4.0,4.0,1.0
53,5927.0,Smartphones,HP,2828.711372651023,19.0,1.0,12.0,2.0,0.0
54,5928.0,Smartphones,HP,202.4653977933268,18.0,0.0,1.0,5.0,0.0
55,5929.0,Smart Watches,Samsung,551.4949064847992,27.0,1.0,5.0,4.0,1.0
56,5930.0,Smart Watches,Samsung,2674.547599961564,51.0,0.0,19.0,2.0,0.0
57,5931.0,Laptops,Other Brands,,25.0,0.0,6.0,5.0,0.0
